RECORD_ID,BUSINESS_NAME,ADDRESS_LINE,ZIP,RECORD_OPEN_DATE,BUSINESS_SUB_INDUSTRY,SPECIFIC_USE,TTL_EMPLOYEE_COUNT,TTL_LEASED_PARKING,TTL_PROVIDED_PARKING,TTL_SQUARE_FOOTAGE
16BRC-00691,439 Stanford Avenue Apartments,"439 Stanford AV, SUITE",94306,"3/8/2016""  ""12\:00\:00 AM",Multi Family,Multiple-Family,0-25,0,10,5252
16BRC-02102,441 Page Mill Realty Partners LLC,441 Page Mill,94306,"8/19/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,1,1,200
16BRC-00732,535 Ramona Inc dba NOLA,"535 Ramona ST, SUITE",94301,"3/9/2016""  ""12\:00\:00 AM",Eating & Drinking Establishments,Eating and Drinking Services,26-100,0,0,7235
16BRC-01278,7 Eleven 2366-18584E,"401 Waverley ST, SUITE N/A",94301,"3/25/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,0,10,2220
16BRC-01036,76 Smog Test,"835 San Antonio RD, SUITE None",94303,"3/21/2016""  ""12\:00\:00 AM",Auto Related,Automotive Services,0-25,0,5,300
16BRC-00343,7-Eleven,"708 Colorado AV, SUITE",94303,"3/2/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,0,5,1400
16BRC-01973,7-Eleven,401 Waverley ST,94301,"5/22/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,1,1,2000
16BRC-02129,899 Charleston dba Moldaw Family Residences,899 E Charleston RD,94303,"9/14/2016""  ""12\:00\:00 AM",Office,Administrative offices for nonprofits,26-100,0,176,298130
16BRC-01494,"A DOGS LIFE, LLC",885 Commercial ST,94303,"3/30/2016""  ""12\:00\:00 AM",Care Facility,Day Care Centers,0-25,0,7,5000
16BRC-01099,"A.T. Kearney, Inc.","540 University AV, SUITE 300",94301,"3/24/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,0,72
16BRC-01997,A/X Armani Exchange,"180 El Camino Real, SUITE 122",94304,"6/2/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,0,0,2912
16BRC-01201,"A9.com, Inc.",130 Lytton AV,94301,"3/24/2016""  ""12\:00\:00 AM",Retail,General Retail,101-500,0,133,70655
16BRC-01201,"A9.com, Inc.",130 Lytton AV,94301,"3/24/2016""  ""12\:00\:00 AM",Retail,General Retail,101-500,0,133,70655
16BRC-02111,ABB Technology Ventures,"530 Lytton AV, SUITE 200",94301,"8/29/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,1,0,180
16BRC-02152,Abbey Neuropsychology Clinic,"366 S California AV, SUITE 9",94306,"10/12/2016""  ""12\:00\:00 AM",Services,Personal Services,0-25,10,0,2200
16BRC-01460,"Abercrombie & Fitch Stores, Inc.","180 El Camino Real, SUITE 840",94304,"3/30/2016""  ""12\:00\:00 AM",Retail,General Retail,26-100,0,0,8262
16BRC-01159,Abilities United,525 E Charleston RD,94306,"3/24/2016""  ""12\:00\:00 AM",Office,Administrative offices for nonprofits,26-100,0,105,15505
16BRC-00577,"Ablative Solutions, Inc.","2479 E Bayshore RD, SUITE Suite 100",94303,"3/6/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,12,2800
16BRC-00599,"Acadine Labs, Inc.","2479 E Bayshore RD, SUITE 280",94303,"3/7/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,1,15,2000
16BRC-01027,"Accedo Broadband North America, Inc.","3600 W Bayshore RD, SUITE 204",94303,"3/21/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,0,1800
16BRC-00922,Accel Management Co. Inc.,"428 University AV, SUITE",94301,"3/17/2016""  ""12\:00\:00 AM",Services,"Accountants, Attorneys, Financial Institutions, Financial Services, Insurance, Other Legal",26-100,70,8,18654
16BRC-01189,"Accellion, Inc.","1804 Embarcadero RD, SUITE 200",94303,"3/24/2016""  ""12\:00\:00 AM",Office,Professional and General Business,101-500,0,0,30720
16BRC-02010,Accent Arts,392 S California AV,94306,"6/8/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,0,0,4800
16BRC-00958,Achievekids,3860 Middlefield RD,94303,"3/17/2016""  ""12\:00\:00 AM",Office,Administrative offices for nonprofits,26-100,0,52,25000
16BRC-00938,Ackerman-Practicon Inc,"801 E Charleston RD, SUITE",94303,"3/17/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,11,4200
16BRC-01327,"Acme Bioscience, Inc.",3941 E Bayshore RD,94303,"3/28/2016""  ""12\:00\:00 AM",Healthcare,Medical Research,0-25,25,25,10800
16BRC-00346,"Acme Education Group, Inc.","4101 El Camino WY, SUITE",94306,"3/2/2016""  ""12\:00\:00 AM",Care Facility,Day Care Centers,26-100,26,224,18800
16BRC-00914,"Acme Education Group, Inc.","4000 Middlefield RD, SUITE L1, L2, FH",94303,"3/16/2016""  ""12\:00\:00 AM",Education,Private Educational Facilities,26-100,26,224,18800
16BRC-00675,"Acorn Technologies, Inc.","445 Cambridge AV, SUITE A",94306,"3/8/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,0,836
16BRC-01136,ACS Architects,"212 High ST, SUITE #105",94301,"3/24/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,1,250
16BRC-00303,Acterra- Action for a Healthy Planet,"3921 E Bayshore RD, SUITE",94303,"3/2/2016""  ""12\:00\:00 AM",Office,Administrative offices for nonprofits,0-25,0,18,1421
16BRC-00250,Actian Corporation,"2300 Geng RD, SUITE 150",94303,"3/2/2016""  ""12\:00\:00 AM",Office,Professional and General Business,26-100,0,0,11215
16BRC-00141,Activehours Inc,"405 Waverley ST, SUITE",94301,"3/2/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,11,3,1653
16BRC-00101,"Adam Strassberg, M.D.","415 Cambridge AV, SUITE 7",94306,"3/2/2016""  ""12\:00\:00 AM",Healthcare,"Audiologist, Chiropractic, Clinics & Medical Centers, Dental, Diet & Nutrition, Laboratory, Massage, Optical, Pharmacy, Drug & Vitamin Stores, Physical Therapy, Physicians, Podiatry, Social Worker",0-25,0,0,900
16BRC-01190,"Adaptive Insights, Inc.","3350 W Bayshore RD, SUITE 200",94303,"3/24/2016""  ""12\:00\:00 AM",Office,Professional and General Business,101-500,0,195,60000
16BRC-02096,"ADARA, Inc.",1072 Meadow,94303,"8/10/2016""  ""12\:00\:00 AM",Office,Computer Programming & Support,26-100,0,54,17000
16BRC-01804,Ada's Cafe,3700 Middlefield RD,94303,"4/23/2016""  ""12\:00\:00 AM",Eating & Drinking Establishments,Eating and Drinking Services,0-25,0,1,400
16BRC-00378,Adient Sports Medicine and Rehabilitation,"3441 Alma ST, SUITE 200",94306,"3/3/2016""  ""12\:00\:00 AM",Healthcare,"Audiologist, Chiropractic, Clinics & Medical Centers, Dental, Diet & Nutrition, Laboratory, Massage, Optical, Pharmacy, Drug & Vitamin Stores, Physical Therapy, Physicians, Podiatry, Social Worker",0-25,0,0,2651
16BRC-01358,Adolescent Counseling Services,231 Grant AV,94306,"3/28/2016""  ""12\:00\:00 AM",Office,Administrative offices for nonprofits,0-25,0,10,500
16BRC-00140,Aerion Technologies Corporation,"1900 Embarcadero RD, SUITE Suite 101",94303,"3/2/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,18,2000
16BRC-00886,"Aerobie, Inc.","744 San Antonio RD, SUITE 15",94303,"3/15/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,12,3000
16BRC-01461,AF Management LLC,375 Forest AV,94301,"3/30/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,2,0,314
16BRC-01719,Agile Physical Therapy,3825 El Camino Real,94306,"4/5/2016""  ""12\:00\:00 AM",Healthcare,"Audiologist, Chiropractic, Clinics & Medical Centers, Dental, Diet & Nutrition, Laboratory, Massage, Optical, Pharmacy, Drug & Vitamin Stores, Physical Therapy, Physicians, Podiatry, Social Worker",0-25,0,23,5520
16BRC-00407,"Ahmann Kadlec Associates, LLC","829 Emerson ST, SUITE",94301,"3/3/2016""  ""12\:00\:00 AM",Services,"Architects, Landscape Architects, Designers",0-25,0,2,900
16BRC-00275,"AIBrain, Inc","5 Palo Alto SQ, SUITE #220",94306,"3/2/2016""  ""12\:00\:00 AM",Retail,"Computer, Software, Electronics, Game",0-25,0,0,989
16BRC-00103,Air Computing,"635 High ST, SUITE",94301,"3/2/2016""  ""12\:00\:00 AM",Office,Professional and General Business,26-100,0,4,4000
16BRC-02161,Airtime Media Inc.,325 Forest AV,94301,"10/25/2016""  ""12\:00\:00 AM",Office,Computer Programming & Support,0-25,0,0,2704
16BRC-00310,"AirXpanders, Inc.","1047 Elwell CT, SUITE",94303,"3/2/2016""  ""12\:00\:00 AM",Healthcare,"Audiologist, Chiropractic, Clinics & Medical Centers, Dental, Diet & Nutrition, Laboratory, Massage, Optical, Pharmacy, Drug & Vitamin Stores, Physical Therapy, Physicians, Podiatry, Social Worker",26-100,0,85,14342
16BRC-01889,AJ Tutoring,"430 Cambridge AV, SUITE 110",94306,"5/4/2016""  ""12\:00\:00 AM",Education,"Adult & Continuing Education, Early Childhood Education, Educational Resources, Other Educational",26-100,0,0,3100
16BRC-01674,AJ's Quick Clean Center.,3175 Middlefield RD,94306,"3/31/2016""  ""12\:00\:00 AM",Services,"Barber & Beauty Salons, Beauty Supplies, Dry Cleaners & Laundromats, Exercise & Fitness, Gym, Massage & Body Works, Nail Salons, Shoe Repairs, Tailors",0-25,0,3,2500
16BRC-01193,"AKINS BODY SHOP, INC.",3290 Park BL,94306,"3/24/2016""  ""12\:00\:00 AM",Auto Related,Automotive Services,0-25,0,59,15000
16BRC-00327,"Ala Ud Din, A Dental Corporation","905 Middlefield RD, SUITE B",94301,"3/2/2016""  ""12\:00\:00 AM",Healthcare,"Audiologist, Chiropractic, Clinics & Medical Centers, Dental, Diet & Nutrition, Laboratory, Massage, Optical, Pharmacy, Drug & Vitamin Stores, Physical Therapy, Physicians, Podiatry, Social Worker",0-25,0,5,850
16BRC-01178,"Alain Pinel Realtors, Inc.",578 University AV,94301,"3/24/2016""  ""12\:00\:00 AM",Services,"Agencies & Brokerage, Agents & Brokers, Apartment & Home Rental, Mortgage Broker & Lender, Property Management, Title Company",26-100,6,0,9150
16BRC-01967,Albert M. Anhar Salon,412 Florence ST,94301,"5/19/2016""  ""12\:00\:00 AM",Services,"Barber & Beauty Salons, Beauty Supplies, Dry Cleaners & Laundromats, Exercise & Fitness, Gym, Massage & Body Works, Nail Salons, Shoe Repairs, Tailors",0-25,0,0,1000
16BRC-00647,Alegio Chocolate,"522 Bryant ST, SUITE",94301,"3/7/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,0,0,600
16BRC-02105,Alex and Ani,"180 El Camino Real, SUITE L206B",94304,"8/24/2016""  ""12\:00\:00 AM",Retail,"Cards & Gifts, Clothing & Accessories, Department Stores, Sporting Goods, General, Jewelry, Shoes",0-25,0,0,1057
16BRC-00446,Alexander S. Hoghooghi DDS MD Inc,"900 Welch RD, SUITE 100",94304,"3/3/2016""  ""12\:00\:00 AM",Healthcare,"Audiologist, Chiropractic, Clinics & Medical Centers, Dental, Diet & Nutrition, Laboratory, Massage, Optical, Pharmacy, Drug & Vitamin Stores, Physical Therapy, Physicians, Podiatry, Social Worker",0-25,0,8,1400
16BRC-00334,Alexander's Grooming,"2415 Ash ST, SUITE",94306,"3/2/2016""  ""12\:00\:00 AM",Services,Animal Care,0-25,3,0,120
16BRC-01957,"Alhouse Deaton Management & Leasing, Inc.","2600 El Camino Real, SUITE 200",94306,"5/18/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,3,1000
16BRC-01810,ALL SAINTS' EPISCOPAL CHURCH,555 Waverley ST,94301,"4/25/2016""  ""12\:00\:00 AM",Office,Administrative offices for nonprofits,0-25,1,0,30000
16BRC-01587,"Allana Buick & Bers, Inc.",990 Commercial ST,94303,"3/31/2016""  ""12\:00\:00 AM",Office,Professional and General Business,26-100,0,90,19500
16BRC-00885,Allegis Capital LLC,"525 University AV, SUITE 220",94301,"3/15/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,7,5000
16BRC-02059,Allen Edmonds Corporation,"180 El Camino Real, SUITE 1110",94304,"6/29/2016""  ""12\:00\:00 AM",Retail,"Cards & Gifts, Clothing & Accessories, Department Stores, Sporting Goods, General, Jewelry, Shoes",0-25,0,0,1496
16BRC-01102,AllSaints USA Limited,"180 El Camino Real, SPACE AA1040",94304,"3/24/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,0,0,2999
16BRC-00338,Allstate Insurance - Lorber insurance,"467 Hamilton AV, SUITE 24",94301,"3/2/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,0,800
16BRC-00745,Alma Street Apartments,"3051 Alma ST, SUITE",94306,"3/9/2016""  ""12\:00\:00 AM",Multi Family,Multiple-Family,0-25,0,20,14000
16BRC-00982,ALRO Custom Drapery Installation Inc,"790 High ST, SUITE A",94301,"3/18/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,2,0,120
16BRC-00136,alta mesa cemetery and funeral home,"695 Arastradero RD, SUITE",94306,"3/2/2016""  ""12\:00\:00 AM",Services,"Mortuaries and Funeral Homes, Funeral Services Providers, Cemetaries",26-100,0,1000,3136320
16BRC-00842,Alta Partners Management Corp,"505 Hamilton AV, SUITE Suite 330",94301,"3/14/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,1,0,1500
16BRC-00179,Altamont Capital PArtners,"400 Hamilton AV, SUITE 230",94301,"3/2/2016""  ""12\:00\:00 AM",Office,Professional and General Business,26-100,0,45,11439
16BRC-01174,Altep California LLC,"2479 E Bayshore RD, SUITE 215",94303,"3/24/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,0,1384
16BRC-00763,"Altschool, PBC","930 Emerson ST, SUITE",94301,"3/9/2016""  ""12\:00\:00 AM",Education,Private Educational Facilities,0-25,0,16,4977
16BRC-01697,"Amato USA Holdings, Inc. DBA kitch'n office",532 Ramona ST,94301,"4/4/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,0,0,1467
16BRC-00261,Ambassador Toys,"855 El Camino Real, SUITE 33",94301,"3/2/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,0,0,1940
16BRC-00326,Amber Dhara,"150 University AV, SUITE",94301,"3/2/2016""  ""12\:00\:00 AM",Eating & Drinking Establishments,Eating and Drinking Services,0-25,0,0,2500
16BRC-00416,"Ambiance Interiors, Inc.","1027 Alma ST, SUITE A",94301,"3/3/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,2,4,1100
16BRC-01155,AME Cloud Ventures,"455 Portage AV, SUITE suite B",94306,"3/24/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,0,6000
16BRC-01813,"American Apparel Retail, Inc.",170 University AV,94301,"4/25/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,0,5,2396
16BRC-00463,American Express,"431 Waverley ST, SUITE",94301,"3/3/2016""  ""12\:00\:00 AM",Office,Professional and General Business,26-100,30,0,15599
16BRC-00695,American Girl Retail Inc,"660 Stanford Shopping CTR, SUITE Space V-82",94304,"3/8/2016""  ""12\:00\:00 AM",Retail,General Retail,26-100,0,0,14000
16BRC-00514,America's Best Value Inn/ Sky Ranch Inn,"4234 El Camino Real, SUITE",94306,"3/4/2016""  ""12\:00\:00 AM",Lodging,Hotels,0-25,0,28,7000
16BRC-01798,"Ami Laws, M.D., Inc.","900 Welch RD, SUITE 103",94304,"4/22/2016""  ""12\:00\:00 AM",Healthcare,"Audiologist, Chiropractic, Clinics & Medical Centers, Dental, Diet & Nutrition, Laboratory, Massage, Optical, Pharmacy, Drug & Vitamin Stores, Physical Therapy, Physicians, Podiatry, Social Worker",0-25,0,2,900
16BRC-02142,AmidRon Energy LLC dba AmidRon Palo Alto,705 San Antonio RD,94303,"9/28/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,0,10,285
16BRC-00325,Amigos de Palo Alto,"1611 Stanford AV, SUITE",94306,"3/2/2016""  ""12\:00\:00 AM",Care Facility,Day Care Centers,0-25,0,16,1267
16BRC-01672,Amity CrossFit,3516 El Camino Real,94306,"3/31/2016""  ""12\:00\:00 AM",Services,"Barber & Beauty Salons, Beauty Supplies, Dry Cleaners & Laundromats, Exercise & Fitness, Gym, Massage & Body Works, Nail Salons, Shoe Repairs, Tailors",0-25,0,20,3000
16BRC-02080,"Amour Vert, Inc.","180 El Camino Real, SUITE BB1180",94304,"7/20/2016""  ""12\:00\:00 AM",Retail,"Cards & Gifts, Clothing & Accessories, Department Stores, Sporting Goods, General, Jewelry, Shoes",0-25,0,0,1381
16BRC-01220,Anacor,1020 E Meadow CIR,94303,"3/24/2016""  ""12\:00\:00 AM",Office,Professional and General Business,101-500,0,183,51590
16BRC-01662,Anatolian Kitchen,2323 Birch ST,94306,"3/31/2016""  ""12\:00\:00 AM",Eating & Drinking Establishments,Eating and Drinking Services,0-25,0,0,1750
16BRC-00829,Anderson Honda,"1766 Embarcadero RD, SUITE",94303,"3/13/2016""  ""12\:00\:00 AM",Auto Related,Vehicle Sales,26-100,0,275,30000
16BRC-01570,"Andrew Au DDS, Inc.","2345 Yale ST, SUITE 2nd floor",94306,"3/31/2016""  ""12\:00\:00 AM",Healthcare,Medical Office,0-25,0,12,1200
16BRC-00894,"Andrew B. Newman, M.D. APC","750 Welch RD, SUITE Ste 104",94304,"3/15/2016""  ""12\:00\:00 AM",Healthcare,"Audiologist, Chiropractic, Clinics & Medical Centers, Dental, Diet & Nutrition, Laboratory, Massage, Optical, Pharmacy, Drug & Vitamin Stores, Physical Therapy, Physicians, Podiatry, Social Worker",0-25,0,4,1600
16BRC-00349,Andrikopoulos & Associates,"445 Sherman AV, SUITE L",94306,"3/3/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,5,0,1883
16BRC-00776,Animal Hospital of Palo Alto,"4111 El Camino Real, SUITE",94306,"3/10/2016""  ""12\:00\:00 AM",Healthcare,Medical Office,0-25,1,5,2500
16BRC-00866,Anita Borg Institute,"1501 Page Mill RD, SUITE MS 1105",94304,"3/15/2016""  ""12\:00\:00 AM",Office,Administrative offices for nonprofits,26-100,0,0,1400
16BRC-00716,Annual Reviews,"4139 El Camino WY, SUITE",94306,"3/9/2016""  ""12\:00\:00 AM",Office,Administrative offices for nonprofits,26-100,0,25,15273
16BRC-00832,Anthony W Thompson Rolfing Structural Integration,"2439 Birch ST, SUITE 8",94306,"3/13/2016""  ""12\:00\:00 AM",Healthcare,"Audiologist, Chiropractic, Clinics & Medical Centers, Dental, Diet & Nutrition, Laboratory, Massage, Optical, Pharmacy, Drug & Vitamin Stores, Physical Therapy, Physicians, Podiatry, Social Worker",0-25,0,0,280
16BRC-00780,Antonio's Nut House Inc.,"321 S California AV, SUITE",94306,"3/10/2016""  ""12\:00\:00 AM",Eating & Drinking Establishments,Eating and Drinking Services,0-25,0,8,4500
16BRC-00596,"AOL, Inc.",395 Page Mill RD,94306,"3/7/2016""  ""12\:00\:00 AM",Office,Professional and General Business,26-100,0,0,44000
16BRC-02148,"APB Law, P.C.","540 University AV, SUITE 300",94301,"10/6/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,1,0,150
16BRC-00973,Apercen Partners LLC,"314 Lytton AV, SUITE 200",94301,"3/17/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,10,0,8406
16BRC-00268,appbackr inc.,"2251 Yale ST, SUITE",94306,"3/2/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,3,800
16BRC-00609,Apple Inc.,"340 University AV, SUITE",94301,"3/7/2016""  ""12\:00\:00 AM",Retail,General Retail,101-500,0,0,32561
16BRC-00074,AppLovin Corporation,"849 High ST, SUITE",94301,"3/2/2016""  ""12\:00\:00 AM",Office,Professional and General Business,26-100,10,15,5000
16BRC-02014,"AppU2, Inc.","530 Lytton AV, SUITE Second flo",94301,"6/9/2016""  ""12\:00\:00 AM",Retail,"Computer, Software, Electronics, Game",0-25,0,1,5
16BRC-00559,Aquarius Theatre,"430 Emerson ST, SUITE n/a",94301,"3/4/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,0,0,7095
16BRC-00273,"Aquifi, Inc.","2225 E Bayshore RD, SUITE 110",94303,"3/2/2016""  ""12\:00\:00 AM",Office,Computer Programming & Support,0-25,0,25,10258
16BRC-00986,Arastradero West Apartments,"724 Arastradero RD, SUITE 1",94306,"3/18/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,106,10000
16BRC-01572,"Ariana Inc, DBA: Cibo Restaurant and Bar",3398 El Camino Real,94306,"3/31/2016""  ""12\:00\:00 AM",Eating & Drinking Establishments,Eating and Drinking Services,0-25,0,20,3500
16BRC-00570,Arnoldi Jewelers,"255 University AV, SUITE",94301,"3/5/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,2,0,1500
16BRC-01730,ARS REI USA CORP. dba UNOde50,"180 El Camino Real, SPACE AA1070",94304,"4/6/2016""  ""12\:00\:00 AM",Retail,"Cards & Gifts, Clothing & Accessories, Department Stores, Sporting Goods, General, Jewelry, Shoes",0-25,0,0,900
16BRC-00507,"Art School of SF Bay, LLC","392 S California AV, SUITE",94306,"3/4/2016""  ""12\:00\:00 AM",Education,Special Education Classes,0-25,0,0,600
16BRC-01545,Artec Group Inc,"335 Bryant ST, SUITE 100",94301,"3/30/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,1,1,3450
16BRC-01078,"Arthur Scott Enterprises Inc. dba Continental Caterers, Too Caterers",918 Industrial AV,94303,"3/23/2016""  ""12\:00\:00 AM",Accessory Use,Eating and drinking services in conjunction with a permitted use,26-100,0,10,8000
16BRC-00297,Artillery Games. Inc,"2951 El Camino Real, SUITE",94306,"3/2/2016""  ""12\:00\:00 AM",Office,Computer Programming & Support,0-25,0,9,3700
16BRC-01479,ARTS' BODYCRAFT INC,280 Lambert AV,94306,"3/30/2016""  ""12\:00\:00 AM",Auto Related,Automotive Services,0-25,0,13,3360
16BRC-01172,"Arundo Analytics, Inc.",444 Ramona ST,94301,"3/24/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,0,100
16BRC-01862,Ashford Design Associates,"4155 El Camino WY, SUITE A",94306,"4/29/2016""  ""12\:00\:00 AM",Services,"Architects, Landscape Architects, Designers",0-25,0,3,650
16BRC-01258,ASIAN BOX PALO ALTO LLC,"855 El Camino Real, SUITE 21",94301,"3/25/2016""  ""12\:00\:00 AM",Eating & Drinking Establishments,Eating and Drinking Services,0-25,0,5,2100
16BRC-01388,Asset Management Company,"2100 Geng RD, SUITE Suite 200",94303,"3/29/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,4,8900
16BRC-01744,"ASSOCIATED ANESTHESIOLOGISTS MEDICAL GROUP, P.C.","2600 El Camino Real, SUITE 206",94306,"4/7/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,2,773
16BRC-01403,Association for the Advancement of Artificial Intelligence (AAAI),"2275 E Bayshore RD, SUITE 160",94303,"3/29/2016""  ""12\:00\:00 AM",Office,Administrative offices for nonprofits,0-25,0,3,1288
16BRC-02073,AT&T,345 Hamilton,94301,"7/13/2016""  ""12\:00\:00 AM",Communications,Communications Facilities,26-100,0,5,140157
16BRC-01616,Athena Academy,525 San Antonio AV,94306,"3/31/2016""  ""12\:00\:00 AM",Education,Private Educational Facilities,0-25,0,30,18750
16BRC-00754,Athleta #4895,"855 El Camino Real, SUITE Sp 37",94301,"3/9/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,0,0,3506
16BRC-00440,atkinson architecture,"125 University AV, SUITE 210",94301,"3/3/2016""  ""12\:00\:00 AM",Services,"Architects, Landscape Architects, Designers",0-25,0,0,120
16BRC-00761,"Augmented Pixels, Inc.","720 University AV, SUITE 200",94301,"3/9/2016""  ""12\:00\:00 AM",Office,Computer Programming & Support,0-25,1,1,100
16BRC-00783,Aurora Meek Hair Stylist,"200 S California AV, SUITE 190",94306,"3/10/2016""  ""12\:00\:00 AM",Services,"Barber & Beauty Salons, Beauty Supplies, Dry Cleaners & Laundromats, Exercise & Fitness, Gym, Massage & Body Works, Nail Salons, Shoe Repairs, Tailors",0-25,1,0,100
16BRC-00089,Aurora Solar Inc.,"165 University AV, SUITE 6",94301,"3/2/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,0,0,1650
16BRC-00924,Auto Pride Car Wash,"841 El Camino Real, SUITE",94301,"3/17/2016""  ""12\:00\:00 AM",Auto Related,Detail & Carwash,0-25,0,10,2000
16BRC-00634,Automile Inc,291 Alma ST,94301,"3/7/2016""  ""12\:00\:00 AM",Retail,"Computer, Software, Electronics, Game",0-25,0,7,2200
16BRC-01837,Avalon Nails,458 Cambridge AV,94306,"4/28/2016""  ""12\:00\:00 AM",Services,Personal Services,0-25,0,1,950
16BRC-00301,"Avalon Yoga International, Inc.","370 S California AV, SUITE",94306,"3/2/2016""  ""12\:00\:00 AM",Services,"Barber & Beauty Salons, Beauty Supplies, Dry Cleaners & Laundromats, Exercise & Fitness, Gym, Massage & Body Works, Nail Salons, Shoe Repairs, Tailors",0-25,0,2,2400
16BRC-01087,"Aveda Experience Center, Inc.","180 El Camino Real, SUITE C10A",94304,"3/23/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,0,0,626
16BRC-00944,Avenidas,"450 Bryant ST, SUITE",94301,"3/17/2016""  ""12\:00\:00 AM",Office,Administrative offices for nonprofits,26-100,25,19,18000
16BRC-01470,Avidbank,"400 Emerson ST, SUITE 2nd Floor",94301,"3/30/2016""  ""12\:00\:00 AM",Office,Professional and General Business,26-100,12,7,9068
